1,39414
2,3236
3,6693
4,2365
5,2665
6,2435
7,2285
8,3586
9,2625
10,2425
11,2275
12,2384
13,3326
14,2414
15,1873
16,1733
17,1693
18,1804
19,1643
20,1703
21,1734
22,1723
23,1753
24,1723
25,1673
26,1693
27,1553
28,1583
29,1754
30,2004
31,1693
32,2334
33,1653
34,1623
35,1753
36,1804
37,1733
38,1734
39,1734
40,1633
41,1563
42,1693
43,1923
44,1643
45,1683
46,1814
47,1753
48,1643
49,1703
50,1693
51,2415
52,1623
53,1613
54,1713
55,1543
56,1593
57,1613
58,1603
59,1522
60,1613
61,1543
62,1553
63,1563
64,1933
65,1663
66,1673
67,1623
68,2124
69,1583
70,1493
71,1563
72,2104
73,1724
74,1694
75,1744
76,1673
77,1613
78,1633
79,1793
80,1813
81,1754
82,1703
83,1774
84,1563
85,1653
86,1512
87,1653
88,2404
89,1713
90,1522
91,1553
92,1673
93,1543
94,1633
95,1483
96,1623
97,1753
98,1703
99,1633
100,1814
101,1663
102,1713
103,1684
104,1603
105,1623
106,1473
107,1573
108,1823
109,1643
110,1724
111,1653
112,1563
113,1553
114,1723
115,1472
116,1614
117,1613
118,1472
119,1633
120,1743
121,1563
122,1633
123,1573
124,1573
125,1583
126,1613
127,1763
128,2134
129,1492
130,1482
131,2194
132,2004
133,1973
134,1773
135,1913
136,1963
137,2074
138,1844
139,1964
140,2545
141,2124
142,2164
143,2064
144,1984
145,1844
146,1864
147,1904
148,1783
149,1854
150,1763
151,1924
152,1904
153,1803
154,1683
155,1824
156,1793
157,1593
158,1663
159,2144
160,1904
161,2054
162,1813
163,1853
164,1854
165,1824
166,1893
167,1753
168,2395
169,1784
170,1764
171,1733
172,1673
173,1683
174,1853
175,1753
176,1893
177,1753
178,1804
179,1664
180,1713
181,1593
182,1764
183,1553
184,1623
185,1884
186,1663
187,1703
188,2034
189,1944
190,1864
191,1984
192,1803
193,1843
194,1683
195,1743
196,1844
197,1744
198,1783
199,1733
200,1714
201,1784
202,2465
203,1873
204,1753
205,1693
206,1834
207,1603
208,1694
209,1482
210,1633
211,1824
212,1693
213,2104
214,1954
215,1954
216,1883
217,2014
218,2124
219,2154
220,6492
221,2144
222,2054
223,2164
224,2114
225,2054
226,2114
227,1994
228,2054
229,2074
230,1964
231,2094
232,1884
233,1984
234,1964
235,1934
236,2024
237,3757
238,2014
239,1934
240,1844
241,1904
242,1964
243,1934
244,1913
245,1933
246,1803
247,1973
248,3016
249,2004
250,1894
251,1854
252,1963
253,1703
254,2394
255,2034
256,2565
257,2104
258,2013
259,8075
260,762
261,842
262,691
263,791
264,851
265,751
266,681
267,701
268,882
269,972
270,691
271,802
272,701
273,731
274,692
275,772
276,781
277,752
278,751
279,832
280,701
281,892
282,651
283,682
284,801
285,762
286,671
287,621
288,832
289,712
290,822
291,742
292,601
293,741
294,731
295,661
296,642
297,731
298,792
299,741
300,641
301,741
302,641
303,841
304,771
305,751
306,832
307,692
308,1112
309,761
310,661
311,801
312,832
313,712
314,682
315,752
316,721
317,801
318,931
319,682
320,1103
321,762
322,862
323,672
324,882
325,811
326,732
327,782
328,822
329,671
330,772
331,722
332,731
333,661
334,802
335,822
336,601
337,541
338,841
339,651
340,691
341,821
342,732
343,752
344,801
345,642
346,761
347,641
348,771
349,622
350,671
351,722
352,712
353,611
354,601
355,781
356,832
357,761
358,732
359,912
360,782
361,651
362,581
363,561
364,751
365,802
366,601
367,602
368,611
369,731
370,651
371,721
372,792
373,591
374,621
375,681
376,692
377,842
378,812
379,601
380,741
381,942
382,771
383,691
384,982
385,832
386,892
387,711
388,862
389,681
390,711
391,761
392,631
393,571
394,801
395,691
396,752
397,631
398,631
399,601
400,742
401,722
402,761
403,621
404,641
405,732
406,641
407,1132
